FL_DATE,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
9/1/2013 12:00:00 AM,ALB,MCO,1105,1102,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ALB,TPA,0645,0644,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,DAB,0917,0913,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,DAB,1200,1159,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,DAB,1546,1557,11.00,0,0.00,4.00,0.00,17.00,0.00,7.00
9/1/2013 12:00:00 AM,ATL,DAB,2039,2046,7.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,ECP,0815,0811,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,ECP,1000,0957,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,ECP,1106,1123,17.00,1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,ECP,1343,1341,0.00,-1,0.00,0.00,0.00,23.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,ECP,1513,1727,134.00,8,0.00,0.00,0.00,0.00,0.00,123.00
9/1/2013 12:00:00 AM,ATL,ECP,1650,1744,54.00,3,0.00,5.00,0.00,0.00,0.00,47.00
9/1/2013 12:00:00 AM,ATL,ECP,1945,1943,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,ECP,2135,2129,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,EYW,0941,1045,64.00,4,0.00,54.00,0.00,0.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,EYW,1520,1551,31.00,2,0.00,4.00,0.00,16.00,0.00,27.00
9/1/2013 12:00:00 AM,ATL,EYW,1739,1840,61.00,4,0.00,61.00,0.00,9.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,FLL,0730,0736,6.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,0840,0839,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,0950,0959,9.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1010,1011,1.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1020,1036,16.00,1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1100,1055,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1130,1129,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1225,1218,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1310,1310,0.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1347,1405,18.00,1,0.00,18.00,0.00,25.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,FLL,1501,1459,0.00,-1,0.00,0.00,0.00,18.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,FLL,1612,1623,11.00,0,0.00,11.00,0.00,4.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,FLL,1630,1630,0.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1707,1713,6.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1752,1755,3.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,1925,2050,85.00,5,0.00,47.00,0.00,0.00,0.00,33.00
9/1/2013 12:00:00 AM,ATL,FLL,1935,1936,1.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,2045,2057,12.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,FLL,2210,2244,34.00,2,0.00,16.00,0.00,0.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,FLL,2300,2255,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,GNV,0821,0815,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,GNV,1053,1045,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,GNV,1335,1329,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,GNV,1615,1703,48.00,3,0.00,0.00,0.00,13.00,0.00,48.00
9/1/2013 12:00:00 AM,ATL,GNV,2152,2139,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,0845,0843,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,0940,0940,0.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,1200,1159,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,1340,1436,56.00,3,0.00,56.00,0.00,20.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,JAX,1454,1452,0.00,-1,0.00,0.00,0.00,19.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,JAX,1622,1758,96.00,6,0.00,13.00,0.00,0.00,0.00,74.00
9/1/2013 12:00:00 AM,ATL,JAX,1737,1749,12.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,1832,1839,7.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,1955,1951,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,2155,2153,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,JAX,2225,0116,171.00,11,0.00,152.00,0.00,0.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,JAX,2300,2257,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,0755,0754,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,0850,0850,0.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,0855,0854,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,0955,0955,0.00,0,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,1010,1008,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,1055,1051,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,1155,1210,15.00,1,0.00,15.00,0.00,2.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,MCO,1230,1229,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,1255,1250,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,1315,1311,0.00,-1,0.00,,,,,
9/1/2013 12:00:00 AM,ATL,MCO,1352,1353,1.00,0,0.00,0.00,0.00,21.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,MCO,1415,1445,30.00,2,0.00,0.00,30.00,21.00,0.00,0.00
9/1/2013 12:00:00 AM,ATL,MCO,1455,1453,0.00,-1,0.00,0.00,0.00,16.00,0.00,0.00
