FL_DATE,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2/1/2017 12:00:00 AM,ACY,FLL,0700,0652,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,FLL,1225,1223,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,FLL,1955,2006,11.00,0,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,MCO,0600,0558,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,MCO,1735,1730,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,MYR,0715,0708,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,PBI,1320,1311,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,RSW,0630,0629,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,RSW,1725,1753,28.00,1,0.00,5.00,0.00,1.00,0.00,10.00
2/1/2017 12:00:00 AM,ACY,TPA,1056,1059,3.00,0,0.00,,,,,
2/1/2017 12:00:00 AM,ACY,TPA,1854,1844,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,0600,0555,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,0730,0732,2.00,0,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,0905,0859,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1050,1047,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1100,1056,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1245,1304,19.00,1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1349,1340,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1350,1353,3.00,0,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1510,1538,28.00,1,0.00,0.00,0.00,96.00,0.00,0.00
2/1/2017 12:00:00 AM,ATL,EWR,1515,1504,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1635,1657,22.00,1,0.00,0.00,0.00,24.00,0.00,0.00
2/1/2017 12:00:00 AM,ATL,EWR,1814,1809,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1815,1807,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,1940,1933,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,2050,2041,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,ATL,EWR,2220,2220,0.00,0,0.00,,,,,
2/1/2017 12:00:00 AM,AUS,EWR,0845,0841,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,AUS,EWR,1915,1908,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BDL,EWR,0543,0536,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BNA,EWR,0600,0555,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BNA,EWR,1043,1057,14.00,0,0.00,,,,,
2/1/2017 12:00:00 AM,BNA,EWR,1535,1627,52.00,3,0.00,0.00,0.00,62.00,0.00,0.00
2/1/2017 12:00:00 AM,BNA,EWR,1930,1922,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,0600,0550,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,0600,0601,1.00,0,0.00,0.00,0.00,21.00,0.00,0.00
2/1/2017 12:00:00 AM,BOS,EWR,0650,0643,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,0720,0714,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,0750,0740,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,0825,0821,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,0910,0905,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,1010,1002,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,1200,1233,33.00,2,0.00,8.00,0.00,0.00,0.00,17.00
2/1/2017 12:00:00 AM,BOS,EWR,1440,1610,90.00,6,0.00,0.00,0.00,109.00,0.00,0.00
2/1/2017 12:00:00 AM,BOS,EWR,1543,1537,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,1749,1743,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,1900,1856,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BOS,EWR,1922,1915,0.00,-1,0.00,0.00,0.00,33.00,0.00,0.00
2/1/2017 12:00:00 AM,BQN,EWR,0255,0323,28.00,1,0.00,0.00,0.00,0.00,0.00,18.00
2/1/2017 12:00:00 AM,BTV,EWR,0947,0938,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BTV,EWR,1725,1825,60.00,4,0.00,0.00,0.00,48.00,0.00,3.00
2/1/2017 12:00:00 AM,BUF,EWR,0600,0551,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,BUF,EWR,0950,1029,39.00,2,0.00,0.00,0.00,0.00,0.00,22.00
2/1/2017 12:00:00 AM,BUF,EWR,1350,1347,0.00,-1,0.00,0.00,0.00,25.00,0.00,0.00
2/1/2017 12:00:00 AM,BWI,EWR,1930,1923,0.00,-1,0.00,0.00,0.00,15.00,0.00,0.00
2/1/2017 12:00:00 AM,CAK,EWR,0600,0551,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CAK,EWR,1520,1516,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CHA,EWR,0600,0550,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CHA,EWR,1452,1548,56.00,3,0.00,0.00,0.00,47.00,0.00,0.00
2/1/2017 12:00:00 AM,CHS,EWR,1125,1116,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CHS,EWR,1254,1250,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CHS,EWR,1740,1835,55.00,3,0.00,0.00,0.00,58.00,0.00,0.00
2/1/2017 12:00:00 AM,CLE,EWR,0631,0620,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CLE,EWR,1018,1017,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CLE,EWR,1147,1138,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CLE,EWR,1638,1824,106.00,7,0.00,0.00,0.00,86.00,0.00,0.00
2/1/2017 12:00:00 AM,CLE,EWR,1820,1830,10.00,0,0.00,0.00,0.00,26.00,0.00,0.00
2/1/2017 12:00:00 AM,CLT,EWR,0740,0734,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CLT,EWR,0955,0953,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CLT,EWR,1130,1124,0.00,-1,0.00,,,,,
2/1/2017 12:00:00 AM,CLT,EWR,1330,1327,0.00,-1,0.00,,,,,
