FL_DATE,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
6/1/2014 12:00:00 AM,ABQ,JFK,2350,2345,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ACK,JFK,1349,1340,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,ATL,0600,0557,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,ATL,1227,1252,25.00,1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,ATL,1759,1756,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,BWI,0830,0822,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,BWI,1230,1225,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,BWI,1415,1427,12.00,0,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,BWI,1620,1620,0.00,0,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,BWI,1755,1801,6.00,0,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,CLT,0805,0755,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,DTW,1415,1413,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,EWR,1521,1514,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,FLL,1155,1149,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,IAD,1425,1412,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,LAS,0700,0659,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,MCO,0800,0756,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,MCO,1500,1512,12.00,0,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,MDW,0630,0624,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,MDW,1715,1711,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,ORD,0630,0632,2.00,0,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,ORD,1151,1141,0.00,-1,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,ORD,1651,1722,31.00,2,0.00,,,,,
6/1/2014 12:00:00 AM,ALB,TPA,0730,0723,0.00,-1,0.00,,,,,
