FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,CANCELLED
8/1/2015 12:00:00 AM,ABQ,JFK,2348,-2.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ACK,JFK,0916,2.00,2.00,0.00,0.00
8/1/2015 12:00:00 AM,ACK,JFK,1304,17.00,17.00,1.00,0.00
8/1/2015 12:00:00 AM,ACK,JFK,1654,10.00,10.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,ATL,0600,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,ATL,1357,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,BWI,0535,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,BWI,0732,-3.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,BWI,1327,62.00,62.00,1.00,0.00
8/1/2015 12:00:00 AM,ALB,BWI,1400,-5.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,BWI,1728,13.00,13.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,CLT,0759,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,CLT,1530,55.00,55.00,1.00,0.00
8/1/2015 12:00:00 AM,ALB,DEN,1801,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,DTW,0602,-3.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,DTW,1236,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,EWR,1119,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,FLL,0630,-5.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,LAS,1922,217.00,217.00,1.00,0.00
8/1/2015 12:00:00 AM,ALB,MCO,,,,,1.00
8/1/2015 12:00:00 AM,ALB,MCO,0657,-8.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,MDW,0556,-9.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,MDW,1631,1.00,1.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,MSP,0644,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,ORD,0629,7.00,7.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,ORD,0850,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,ORD,1737,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ALB,TPA,1322,17.00,17.00,1.00,0.00
8/1/2015 12:00:00 AM,ATL,ALB,1057,-3.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,ALB,1938,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,BUF,0844,19.00,19.00,1.00,0.00
8/1/2015 12:00:00 AM,ATL,BUF,1029,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,BUF,1337,8.00,8.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,BUF,2043,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,HPN,0935,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,HPN,1211,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,HPN,1602,-3.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,HPN,2038,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,JFK,0812,-3.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,JFK,0949,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,JFK,1206,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,JFK,1539,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,JFK,1750,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,JFK,2037,-2.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0610,10.00,10.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0631,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0641,1.00,1.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0645,0.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0743,-2.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0844,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0904,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,0921,6.00,6.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,1044,-1.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,1153,3.00,3.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,1240,-5.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,1441,-4.00,0.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,1527,12.00,12.00,0.00,0.00
8/1/2015 12:00:00 AM,ATL,LGA,1533,-2.00,0.00,0.00,0.00
