FL_DATE,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
11/1/2017 12:00:00 AM,ALB,ATL,0625,0622,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,ATL,1231,1225,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,ATL,1751,1742,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,BWI,0555,0554,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,BWI,0655,0652,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,BWI,1040,1036,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,BWI,1240,1238,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,BWI,1620,1626,6.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,BWI,1735,1748,13.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,CLT,0625,0620,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,CLT,1449,1443,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,CLT,1912,1902,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,DEN,1840,1839,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,DTW,1245,1232,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,FLL,1701,1646,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,MCO,1325,1324,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,MCO,1501,1447,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,MDW,0610,0610,0.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,MDW,1655,1652,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,MSP,0610,0605,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,ORD,0640,0638,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,ORD,0950,0942,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,ORD,1320,1315,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ALB,ORD,1720,1720,0.00,0,0.00,0.00,0.00,27.00,0.00,0.00
11/1/2017 12:00:00 AM,ALB,TPA,0640,0641,1.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,ALB,0936,0933,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,ALB,1448,1441,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,ALB,2000,1957,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,BUF,0813,0809,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,BUF,1026,1021,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,BUF,1355,1352,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,BUF,1621,1709,48.00,3,0.00,34.00,0.00,0.00,0.00,0.00
11/1/2017 12:00:00 AM,ATL,BUF,2159,2209,10.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,HPN,0727,0720,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,HPN,1001,0957,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,HPN,1208,1231,23.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,HPN,1500,1457,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,HPN,1836,1834,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,HPN,2044,2044,0.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,0816,0814,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,1038,1045,7.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,1340,1402,22.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,1515,1534,19.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,1710,1706,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,1915,1916,1.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,JFK,2145,2143,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0550,0550,0.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0605,0601,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0630,0624,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0700,0659,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0730,0727,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0830,0825,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0845,0850,5.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,0930,0938,8.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1030,1029,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1130,1130,0.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1210,1229,19.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1230,1226,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1330,1327,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1430,1430,0.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1530,1527,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1535,1534,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1630,1622,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1730,1727,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1820,1818,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1830,1824,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1930,1928,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,1945,1942,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,LGA,2120,2116,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,ROC,0925,0920,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,ROC,1518,1533,15.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,ROC,2146,2141,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,SYR,0913,0908,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,SYR,1505,1504,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,ATL,SYR,2135,2130,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,AUS,JFK,0600,0557,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,AUS,JFK,0820,0817,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,AUS,JFK,0910,0908,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,AUS,JFK,1310,1313,3.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,AUS,JFK,1347,1340,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BGM,DTW,0610,0555,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BGM,DTW,1323,1307,0.00,-2,0.00,,,,,
11/1/2017 12:00:00 AM,BGM,DTW,1734,1731,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BHM,LGA,0610,0607,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BNA,LGA,0640,0639,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BNA,LGA,1000,0955,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BNA,LGA,1510,1503,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BNA,LGA,1645,1714,29.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,BUF,0655,0645,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,BUF,1000,0946,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,BUF,1240,1231,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,BUF,1605,1559,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,BUF,2000,1955,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,0535,0530,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,0600,0552,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,0800,0751,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,1200,1201,1.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,1215,1214,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,1432,1428,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,1530,1519,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,1705,1705,0.00,0,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,1935,1928,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,JFK,2135,2126,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0600,0554,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0630,0623,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0630,0627,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0650,0640,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0700,0653,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0700,0656,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0800,0752,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0800,0756,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0847,0840,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,0900,0853,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,1000,1025,25.00,1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,1100,1051,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,1130,1121,0.00,-1,0.00,,,,,
11/1/2017 12:00:00 AM,BOS,LGA,1200,1151,0.00,-1,0.00,,,,,
