FL_DATE,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DELAY_GROUP,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
9/1/2012 12:00:00 AM,ABE,MCO,1140,1130,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ALB,FLL,1135,1130,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ALB,MCO,0725,0802,37.00,2,0.00,0.00,0.00,0.00,16.00,0.00
9/1/2012 12:00:00 AM,ALB,TPA,1335,1338,3.00,0,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,DAB,0916,0916,0.00,0,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,DAB,1205,1201,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,DAB,2032,2028,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,0810,0808,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,0920,0918,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,1041,1039,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,1212,1230,18.00,1,0.00,18.00,0.00,10.00,0.00,0.00
9/1/2012 12:00:00 AM,ATL,ECP,1340,1335,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,1510,1507,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,1730,1729,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,ECP,2211,2158,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,EYW,0945,0940,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,EYW,1500,1459,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,EYW,1923,1921,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,0730,0729,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,0827,0828,1.00,0,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,0845,0904,19.00,1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,0952,0950,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1010,1008,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1105,1108,3.00,0,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1145,1147,2.00,0,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1228,1242,14.00,0,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1342,1341,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1445,1504,19.00,1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1520,1519,0.00,-1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1610,1630,20.00,1,0.00,,,,,
9/1/2012 12:00:00 AM,ATL,FLL,1615,1614,0.00,-1,0.00,,,,,
